# 缺失或无效Steam AppID的游戏清单
# 生成时间: 2026-07-25
# 总计: 153 个游戏

使命召唤：黑色行动3 | Call of Duty: Black Ops III | 旧appid: 311210
人类：一败涂地 | Human: Fall Flat | 旧appid: 477160
光环无限 | Halo Infinite | 旧appid: 1240440
木卫四协议 | The Callisto Protocol | 旧appid: 1544020
植物大战僵尸 | Plants vs. Zombies | 旧appid: 3654560
英雄无敌 III | Heroes of Might and Magic III | 旧appid: 297000
无人深空 | No Man's Sky | 旧appid: 275850
绝地求生 | PUBG: Battlegrounds | 旧appid: 578080
刺猬索尼克 | Sonic the Hedgehog | 旧appid: 2324650
使命召唤：现代战争3 | Call of Duty: Modern Warfare 3 | 旧appid: 3595270
怪物猎人：荒野 | Monster Hunter Wilds | 旧appid: 2246340
第一日程 | Schedule I | 旧appid: 3164500
山巅 | PEAK | 旧appid: 3527290
废品回收 | R.E.P.O. | 旧appid: 3241660
ARC 袭兵 | ARC Raiders | 旧appid: 1808500
寂静岭 f | Silent Hill f | 旧appid: 2947440
宇宙机器人 | Astro Bot | 旧appid: 2232520
绝地潜兵 2 | Helldivers 2 | 旧appid: 553850
最终幻想 VII：重生 | Final Fantasy VII Rebirth | 旧appid: 2909400
第一后裔 | The First Descendant | 旧appid: 2074920
致命公司 | Lethal Company | 旧appid: 1966720
星空 | Starfield | 旧appid: 1716740
披萨塔 | Pizza Tower | 旧appid: 4632830
蚕茧 | Cocoon | 旧appid: 2414630
师父 | Sifu | 旧appid: 4956910
漫威瞬战超能 | Marvel Snap | 旧appid: 1997040
永劫无间 | NARAKA: BLADEPOINT | 旧appid: 1203220
最后的生还者 第二部 | The Last of Us Part II | 旧appid: 2531310
漫威蜘蛛侠 1 | Marvel's Spider-Man | 旧appid: 2651280
掠食 (2017) | Prey | 旧appid: 480490
守望先锋 1 | Overwatch | 旧appid: 2357570
内部 | Inside | 旧appid: 1486570
文明 6 | Civilization VI | 旧appid: 2158250
铲子骑士 | Shovel Knight | 旧appid: 1416050
异形：隔离 | Alien: Isolation | 旧appid: 4665290
晶体管 | Transistor | 旧appid: 299240
最后的生还者 1 | The Last of Us | 旧appid: 1888930
雷曼：传奇 | Rayman Legends | 旧appid: 4084710
反恐精英：全球攻势 | CS:GO | 旧appid: 413850
激战 2 | Guild Wars 2 | 旧appid: 1367080
战神 3 | God of War III | 旧appid: 694780
潜龙谍影 4 | Metal Gear Solid 4: Guns of the Patriots | 旧appid: 4184400
求生之路 1 | Left 4 Dead 1 | 旧appid: 1569281
传送门 1 | Portal 1 | 旧appid: 2967870
使命召唤 4：现代战争 | Call of Duty 4: Modern Warfare | 旧appid: 4435490
上古卷轴 4：湮没 | The Elder Scrolls IV: Oblivion | 旧appid: 2623190
大神 | Okami | 旧appid: 4262610
生化危机 4 (原版) | Resident Evil 4 (Original) | 旧appid: 2593600
战神 1 | God of War 1 | 旧appid: 4714000
鬼泣 3 | Devil May Cry 3 | 旧appid: 1426680
文明 4 | Civilization IV | 旧appid: 1357210
潜龙谍影 3：食蛇者 | Metal Gear Solid 3: Snake Eater | 旧appid: 2131650
光环 2 | Halo 2 | 旧appid: 1064270
侠盗猎车手 III | Grand Theft Auto III | 旧appid: 1546970
寂静岭 2 | Silent Hill 2 | 旧appid: 2124490
杀出重围 1 | Deus Ex 1 | 旧appid: 1421610
暗黑破坏神 II | Diablo II | 旧appid: 2536520
刀魂 / 剑魂 1 | Soulcalibur 1 | 旧appid: 1162204
半条命 1 | Half-Life 1 | 旧appid: 1341060
星际争霸 1 | StarCraft | 旧appid: 3476660
辐射 2 | Fallout 2 | 旧appid: 3191720
生化危机 2 (原版) | Resident Evil 2 (1998) | 旧appid: 4249110
最终幻想 VII (原版) | Final Fantasy VII (Original) | 旧appid: 4270250
生化危机 1 (原版) | Resident Evil 1 (1996) | 旧appid: 4249100
时空之轮 | Chrono Trigger | 旧appid: 613830
街头霸王 II | Street Fighter II | 旧appid: 3410460
吃豆人 | Pac-Man | 旧appid: 2324290
超级马力欧：奥德赛 | Super Mario Odyssey | 旧appid: None
塞尔达传说：旷野之息 | The Legend of Zelda: Breath of the Wild | 旧appid: None
生化危机4重制版 | Resident Evil 4 (2023) | 旧appid: None
塞尔达传说：王国之泪 | The Legend of Zelda: Tears of the Kingdom | 旧appid: None
小小大星球 | LittleBigPlanet | 旧appid: None
密特罗德Prime 重制版 | Metroid Prime Remastered | 旧appid: None
心灵杀手2 | Alan Wake 2 | 旧appid: None
恶魔之魂 重制版 | Demon's Souls | 旧appid: None
任天堂明星大乱斗 特别版 | Super Smash Bros. Ultimate | 旧appid: None
神秘海域4：盗贼末路 | Uncharted 4 | 旧appid: None
超级马力欧3D世界 | Super Mario 3D World | 旧appid: None
旺达与巨像 | Shadow of the Colossus | 旧appid: None
马力欧赛车8豪华版 | Mario Kart 8 Deluxe | 旧appid: None
暗黑破坏神3 | Diablo III | 旧appid: None
集合啦！动物森友会 | Animal Crossing: New Horizons | 旧appid: None
Wii运动 | Wii Sports | 旧appid: None
超级马力欧兄弟 | Super Mario Bros. | 旧appid: None
宝可梦 红/蓝 | Pokémon Red/Blue | 旧appid: None
堡垒 | Bastion | 旧appid: None
流放之路 2 (EA) | Path of Exile 2 | 旧appid: None
纸片马力欧：千年之门 重制版 | Paper Mario: The Thousand-Year Door (Remake) | 旧appid: None
生化危机 4 重制版 | Resident Evil 4 Remake | 旧appid: None
超级马力欧兄弟 惊奇 | Super Mario Bros. Wonder | 旧appid: None
GT赛车 7 | Gran Turismo 7 | 旧appid: None
异度神剑 3 | Xenoblade Chronicles 3 | 旧appid: None
